timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724514013882,1156,view charges,200,OK,Customer &  Charges 2-7,text,true,,40216,306,11,61,https://api.stripe.com/v1/charges,795,0,0
1724514014782,350,Single Customer,200,OK,Customer &  Charges 2-46,text,true,,1984,327,10,60,https://api.stripe.com/v1/customers/cus_QinfQFwCqvo33r,350,0,0
1724514013856,1329,create charge,200,OK,Customer &  Charges 2-35,text,true,,4810,422,9,59,https://api.stripe.com/v1/charges,1329,0,0
1724514014860,344,Single Customer,200,OK,Customer &  Charges 2-48,text,true,,1985,327,9,59,https://api.stripe.com/v1/customers/cus_Qinfe3yFRL373m,344,0,0
1724514014516,747,Single Customer,200,OK,Customer &  Charges 2-32,text,true,,1985,327,8,58,https://api.stripe.com/v1/customers/cus_QinfQi6iVhmwx1,746,0,0
1724514014229,1206,create charge,200,OK,Customer &  Charges 2-43,text,true,,4811,422,7,57,https://api.stripe.com/v1/charges,1206,0,0
1724514014102,1335,view charges,200,OK,Customer &  Charges 2-31,text,true,,40217,306,7,57,https://api.stripe.com/v1/charges,1335,0,0
1724514014031,1490,view charges,200,OK,Customer &  Charges 2-23,text,true,,40217,306,6,56,https://api.stripe.com/v1/charges,1345,0,0
1724514014791,1016,view charges,200,OK,Customer &  Charges 2-47,text,true,,40217,306,5,55,https://api.stripe.com/v1/charges,785,0,0
1724514015101,737,Single Customer,200,OK,Customer &  Charges 2-34,text,true,,1985,327,4,54,https://api.stripe.com/v1/customers/cus_QinfXoVSw3hTEO,737,0,0
1724514014440,1511,view charges,200,OK,Customer &  Charges 2-39,text,true,,40217,306,3,53,https://api.stripe.com/v1/charges,769,0,0
1724514015186,929,view charges,200,OK,Customer &  Charges 2-35,text,true,,40217,306,2,52,https://api.stripe.com/v1/charges,851,0,0
1724514015436,1676,view charges,200,OK,Customer &  Charges 2-43,text,true,,40217,306,1,51,https://api.stripe.com/v1/charges,1360,0,0
1724514012296,13981,Stripe API,200,OK,Home 1-19,text,true,,1900738,120,50,50,https://docs.stripe.com/api,937,0,171
1724514012218,16205,Stripe API,200,OK,Home 1-15,text,true,,1900730,120,49,49,https://docs.stripe.com/api,1979,0,180
1724514012499,16022,Stripe API,200,OK,Home 1-29,text,true,,1900738,120,48,48,https://docs.stripe.com/api,778,0,175
1724514012438,16106,Stripe API,200,OK,Home 1-26,text,true,,1900738,120,47,47,https://docs.stripe.com/api,849,0,178
1724514012341,17036,Stripe API,200,OK,Home 1-21,text,true,,1900738,120,46,46,https://docs.stripe.com/api,1010,0,187
1724514012397,17107,Stripe API,200,OK,Home 1-24,text,true,,1900738,120,45,45,https://docs.stripe.com/api,839,0,177
1724514012719,16873,Stripe API,200,OK,Home 1-40,text,true,,1900738,120,44,44,https://docs.stripe.com/api,977,0,189
1724514012739,16973,Stripe API,200,OK,Home 1-41,text,true,,1900738,120,43,43,https://docs.stripe.com/api,1471,0,186
1724514012550,18490,Stripe API,200,OK,Home 1-31,text,true,,1900730,120,42,42,https://docs.stripe.com/api,823,0,183
1724514012880,18227,Stripe API,200,OK,Home 1-48,text,true,,1900738,120,41,41,https://docs.stripe.com/api,1118,0,194
1724514012057,19350,Stripe API,200,OK,Home 1-7,text,true,,1900738,120,40,40,https://docs.stripe.com/api,958,0,173
1724514012562,18845,Stripe API,200,OK,Home 1-32,text,true,,1900738,120,40,40,https://docs.stripe.com/api,1072,0,187
1724514011928,19570,Stripe API,200,OK,Home 1-1,text,true,,1900738,120,38,38,https://docs.stripe.com/api,867,0,196
1724514012478,19063,Stripe API,200,OK,Home 1-28,text,true,,1900738,120,37,37,https://docs.stripe.com/api,997,0,189
1724514012251,19500,Stripe API,200,OK,Home 1-16,text,true,,1900738,120,36,36,https://docs.stripe.com/api,780,0,171
1724514012680,19537,Stripe API,200,OK,Home 1-38,text,true,,1900738,120,35,35,https://docs.stripe.com/api,907,0,212
1724514011998,20935,Stripe API,200,OK,Home 1-4,text,true,,1900738,120,34,34,https://docs.stripe.com/api,808,0,185
1724514012378,20801,Stripe API,200,OK,Home 1-23,text,true,,1900730,120,33,33,https://docs.stripe.com/api,1256,0,179
